SID	zhi_lbp1	zhi_lbp2	zhi_lbp3	zhi_lbp4	zhi_lbp5	zhi_hog1	zhi_hog2	zhi_hog3	zhi_hog4	zhi_hog5	zhi_contrast	zhi_dissimilarity	zhi_homogeneity	zhi_energy	zhi_correlation	zhi_entropy
TE0001547	51619	16282	20690	17255	37981	453000	31093	518	59	34	92.13369263	3.461593483	0.701769058	0.623382186	0.823784447	6.665521692
TE0001548	30530	8283	10684	8339	14674	435380	28263	1211	190	58	77.8828196	2.29037401	0.838433453	0.797957961	0.766499888	6.818820324
TE0001549	37979	10934	13622	9704	24974	445279	25695	958	159	58	65.67505828	2.338566577	0.799870881	0.740569583	0.799290319	6.519621207
TE0001550	34623	11144	15076	11998	24615	440176	23684	873	167	40	69.50960385	2.250935773	0.805671945	0.737788274	0.806168673	6.668087387
TE0001551	56276	21161	30773	23191	58800	541343	28840	485	90	49	36.85638629	1.835427917	0.735238865	0.597940111	0.86656035	6.199221594
TE0001552	51376	18374	25510	20151	39622	598026	34471	1165	150	94	62.22020733	2.315146659	0.772903599	0.698329359	0.812120696	6.56700538
TE0001553	50461	15675	22000	18003	41478	503963	28880	472	115	36	54.01267402	2.244922597	0.760737396	0.661258755	0.780236406	6.213653875
TE0001554	41212	13632	20872	16405	36052	488713	27173	1040	112	66	40.09931729	1.746364125	0.791655057	0.695944208	0.842048304	6.366978792
TE0001555	41739	13700	17949	14019	29071	479943	26540	760	105	36	66.20466266	2.482268642	0.78030676	0.714883679	0.808222888	6.677201483
TE0001556	28574	9063	12216	10811	19907	455764	20720	695	96	58	56.85160969	1.909081187	0.839956498	0.78884815	0.801992904	6.722619766
TE0001557	34190	12215	16175	12463	28568	461341	23297	733	89	54	50.56419381	1.912300566	0.811750514	0.737118216	0.821874682	6.576422695
TE0001558	26838	10130	14020	10215	19027	419132	22375	587	136	30	74.40596582	2.223128613	0.824606901	0.774620158	0.823590508	6.96856263
TE0001559	27885	7439	10746	9066	18436	390508	22076	606	100	53	65.09193395	2.182705871	0.82438071	0.775183341	0.787346254	6.677209387
TE0001560	46413	14068	23668	18741	41186	609246	31265	817	132	60	45.33111825	1.612329821	0.824331127	0.724243624	0.855957614	6.545686355
TE0001561	58776	17428	28675	21984	54192	548490	35244	633	83	46	65.60728685	2.262408174	0.763693119	0.620171059	0.883263399	6.763694876
TE0001562	47691	15903	25554	19572	45304	528238	34453	611	94	40	49.69953154	2.090808246	0.774902803	0.660734357	0.770277665	6.092496318
TE0001563	21217	7218	9465	7560	15358	324476	14131	433	83	24	36.90180359	1.491142508	0.840629634	0.781194924	0.8036171	6.313657179
TE0001564	23747	6799	8666	7850	13612	480516	25135	1448	199	86	49.34985825	1.603680779	0.877082609	0.846419942	0.746627403	6.663832469
TE0001565	31466	11577	15640	12092	27248	455910	21977	870	146	50	47.86339738	1.731783896	0.821612583	0.751144338	0.836204317	6.477752452
