SID	fissure_cnnPC1	fissure_cnnPC2	fissure_cnnPC3	fissure_cnnPC4	fissure_cnnPC5	fissure_cnnPC6	fissure_cnnPC7	fissure_cnnPC8	fissure_cnnPC9	fissure_cnnPC10
TE0004156	1.889373	7.129623	-9.305714	-10.003837	0.007173957	-3.0612583	-9.873451	-5.124944	3.782079	6.813572
TE0004157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004160	-4.433298	3.5612774	-1.0221435	3.9867086	-2.1702156	-8.9735365	-2.2325687	5.1713886	-5.8476152	2.305393
TE0004161	-8.765885	-6.2740965	-12.093679	-11.78646	11.564238	9.120951	-0.9461245	-5.78973	-5.157027	-0.94481856
TE0004162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004166	5.351285	-15.828538	3.835044	-12.983781	-0.743275	1.2853705	-6.8796897	-6.131555	4.6894116	0.18311863
TE0004167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004170	-33.93379	2.6820767	-1.4689906	-2.9702435	-1.7908494	4.8431077	-0.7459331	-1.0976837	-0.01619607	7.282559
TE0004171	-18.349792	18.655958	-14.900503	-8.47389	-0.45017502	1.2949111	1.8697639	1.5177783	6.550745	-5.6582217
TE0004172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004173	-16.064474	-14.729269	-18.833405	0.5881471	-12.399752	-9.243012	10.374606	-5.4231215	-1.8431075	-0.7823886
TE0004174	45.45377	2.329541	-2.635898	-12.523537	-3.9478707	-7.365718	12.392594	-20.214987	11.041419	-5.577571
TE0004175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004177	-36.90532	9.5434675	-2.029419	6.6544456	-7.1441607	-0.20404291	3.7315295	7.47745	5.347426	0.34075037
TE0004178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004180	8.82028	-12.536952	-6.032425	2.0398643	0.8914368	-12.069921	4.580927	-3.358336	-2.7187824	2.518694
TE0004181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004182	3.3360107	-14.837691	-22.333555	14.379761	-12.566725	0.6139887	-3.1558652	-7.9377747	-1.8947822	1.5514601
TE0004183	30.32981	5.274138	-11.607148	15.325965	21.358284	0.5733825	13.290258	-10.167979	1.3515421	10.701817
TE0004184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004185	0.9644843	-16.209415	-5.411724	-5.8055534	0.055758353	-1.4366087	-1.1435567	-0.8169502	10.161518	5.953119
