SID	tai_lbp1	tai_lbp2	tai_lbp3	tai_lbp4	tai_lbp5	tai_hog1	tai_hog2	tai_hog3	tai_hog4	tai_hog5	tai_contrast	tai_dissimilarity	tai_homogeneity	tai_energy	tai_correlation	tai_entropy
TE0005637	19744	9180	16694	13375	33181	192580	16721	600	30	21	102.262757	2.93012812	0.67141983	0.481846902	0.910954969	6.82353354
TE0005638	13315	5049	9829	6880	28450	232235	15616	1229	147	91	98.67392856	2.075643989	0.81744395	0.692105823	0.881259694	6.834044398
TE0005639	15140	5742	8180	7082	21450	290545	16618	1091	112	82	80.75722022	1.991659905	0.83948142	0.77329805	0.834449891	6.807878453
TE0005640	35077	14832	24850	21051	50498	346809	28604	1064	125	48	119.252912	2.776646129	0.696805664	0.528521769	0.897931621	6.678817643
TE0005641	18075	9820	16511	12218	26019	167778	14395	466	63	34	74.2714314	2.431682941	0.646201384	0.467226834	0.932691052	6.525610288
TE0005642	23930	10082	17501	13785	36393	250747	19601	683	104	53	79.939488	2.330531529	0.723837012	0.548809495	0.876114189	6.252595216
TE0005643	26725	10950	25684	20413	61658	352329	29892	1193	144	58	101.8164124	2.206545347	0.763356247	0.54390407	0.915374994	6.59242969
TE0005644	23867	11127	16159	12647	27672	257389	18813	680	98	40	129.3479717	3.250464041	0.702063779	0.602663249	0.817845525	6.356377601
TE0005645	36577	14224	21890	16051	41780	365325	29161	1428	176	81	100.4511747	3.047817504	0.701640354	0.598114318	0.867505695	6.664276528
TE0005646	20056	7235	12470	9258	28380	259066	16705	1234	132	45	139.6803364	2.470164961	0.793524554	0.660012415	0.75171758	6.101450051
TE0005647	21438	8921	14876	10700	29140	272263	21268	1149	116	44	116.6458789	2.840891086	0.748463648	0.649535683	0.832010236	6.657900452
TE0005648	35004	16823	24789	20725	50171	366683	26998	1412	110	77	94.20691074	2.556984363	0.698185569	0.55168021	0.929036774	6.811205591
TE0005649	16999	7018	11059	8495	23463	164524	13519	501	32	29	75.46580136	2.523212884	0.710618059	0.559321993	0.84563757	6.108612636
TE0005650	30055	13133	22825	17209	41684	336151	27208	993	92	56	79.1386387	2.773872188	0.703365729	0.582182398	0.899516256	6.770668265
TE0005651	19419	6742	9684	7832	21267	268510	19126	856	113	79	103.2074771	2.440971812	0.800525048	0.722833393	0.700443621	6.2255124
TE0005652	21044	8192	11785	9521	27070	278763	21330	1081	101	45	109.3123366	2.596722485	0.778857903	0.685139163	0.707293168	6.214409965
TE0005653	22677	8231	15329	12448	38573	248921	21295	854	73	45	125.8568377	2.561305455	0.764549083	0.567788989	0.817801855	6.587310505
TE0005654	21129	8270	12887	11167	34058	319131	20892	1271	139	63	92.06368239	2.208571429	0.793552299	0.687060776	0.915200683	7.067619875
TE0005655	18251	6992	14380	10189	41667	250810	19437	952	103	48	83.45679417	2.104211302	0.77925994	0.596850029	0.936825899	6.848903715
TE0005656	21598	9282	14968	11354	28236	190024	15244	546	58	30	75.31701414	2.685349874	0.672003941	0.511977902	0.7848474	6.156214505
TE0005657	14190	6892	9378	7833	17183	212782	14789	739	67	43	88.88046808	2.330997618	0.784597368	0.712756922	0.828331525	6.727379244
TE0005658	22832	9240	12353	9757	27348	282785	17438	1031	77	70	92.87409954	2.620965479	0.75237283	0.671412285	0.88711312	6.852425571
TE0005659	27472	9278	14363	11897	36738	350640	26964	1289	130	57	127.4442627	3.029686031	0.767671562	0.672360412	0.856356689	6.974407493
TE0005660	16623	5964	10342	8357	27125	323402	17079	1215	150	55	96.46130308	1.784775658	0.851543514	0.756949983	0.861515408	6.501254046
TE0005661	14684	4835	9317	7320	22212	220487	16374	1119	104	56	116.208797	2.324012744	0.813372185	0.700956833	0.72028368	6.287533167
