SID	tooth_mk_cnnPC1	tooth_mk_cnnPC2	tooth_mk_cnnPC3	tooth_mk_cnnPC4	tooth_mk_cnnPC5	tooth_mk_cnnPC6	tooth_mk_cnnPC7	tooth_mk_cnnPC8	tooth_mk_cnnPC9	tooth_mk_cnnPC10
TE0004188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004189	-19.575731	-5.423821	14.873787	-16.100126	-4.1871033	7.356762	2.0670686	2.0121288	10.301855	-0.3928308
TE0004190	54.53713	38.55779	-3.348757	7.078247	-1.1281792	16.599373	-4.8911543	19.694067	4.900629	1.8602737
TE0004191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004195	32.52991	-6.594543	-4.2194796	-7.9949484	1.2814859	-17.580048	11.344636	-2.6012802	-7.202074	-3.8092878
TE0004196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
